"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","666","Десять питомцев создаются параллельно","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_concurrent","",""
"","23","Чтение созданного питомца","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_crud","",""
"","23","Чтение созданного пользователя","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_crud","",""
"","0","Поля модели User совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","46","Оформление заказа","tests.api.store","2026-09-10","passed","2026-09-10","","test_store_orders","",""
"","23","Вход с неверным паролем всё равно успешен","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_session","",""
"","46","Поиск по статусу available возвращает только этот статус","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_search","",""
"","0","Значения enum в Pet совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","23","Чтение созданного заказа","tests.api.store","2026-09-10","passed","2026-09-10","","test_store_orders","",""
"","0","Поля модели Order совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","0","Обязательные поля модели Pet совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","31","Ответ на чтение пользователя соответствует схеме User","tests.contract","2026-09-10","passed","2026-09-10","","test_response_schemas","",""
"","168","Десять параллельных чтений возвращают одного и того же питомца","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_concurrent","",""
"","25","Поиск по статусу вне enum должен отвечать 400","tests.contract","2026-09-10","skipped","2026-09-10","","test_known_deviations","",""
"","23","Создание питомца","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_crud","",""
"","186","Пользователь проходит цикл создание - вход - обновление - удаление","tests.integration","2026-09-10","passed","2026-09-10","","test_user_lifecycle","",""
"","31","Ответ на чтение заказа соответствует схеме Order","tests.contract","2026-09-10","passed","2026-09-10","","test_response_schemas","",""
"","48","Питомец с очень длинным именем принимается сервером","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_validation","",""
"","46","Обновление пользователя","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_crud","",""
"","23","Чтение несуществующего заказа возвращает 404","tests.api.store","2026-09-10","passed","2026-09-10","","test_store_orders","",""
"","0","Обязательные поля модели User совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","46","Удаление заказа","tests.api.store","2026-09-10","passed","2026-09-10","","test_store_orders","",""
"","47","Питомец с пустым именем принимается сервером","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_validation","",""
"","23","Заказ с id больше maximum должен отвечать 400","tests.contract","2026-09-10","skipped","2026-09-10","","test_known_deviations","",""
"","139","Питомец проходит цикл создание - чтение - обновление - удаление","tests.integration","2026-09-10","passed","2026-09-10","","test_pet_lifecycle","",""
"","23","Чтение несуществующего пользователя возвращает 404","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_crud","",""
"","1","Значения enum в Order совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","47","Поиск по статусу pending возвращает только этот статус","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_search","",""
"","27","Выход из сессии","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_session","",""
"","24","Создание пользователя","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_crud","",""
"","46","Сводка склада учитывает созданного питомца","tests.api.store","2026-09-10","passed","2026-09-10","","test_store_orders","",""
"","23","Поиск по несуществующему статусу возвращает пустой список","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_search","",""
"","23","Удаление заказа должно отвечать документированным кодом","tests.contract","2026-09-10","skipped","2026-09-10","","test_known_deviations","",""
"","46","Обновление питомца сохраняется на сервере","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_crud","",""
"","45","Удаление пользователя","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_crud","",""
"","25","Чтение несуществующего питомца возвращает 404","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_crud","",""
"","0","Поля модели Pet совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
"","24","Поиск без обязательного status должен отвечать 400","tests.contract","2026-09-10","skipped","2026-09-10","","test_known_deviations","",""
"","32","Ответ на чтение питомца соответствует схеме Pet","tests.contract","2026-09-10","passed","2026-09-10","","test_response_schemas","",""
"","23","Вход с верными учётными данными","tests.api.user","2026-09-10","passed","2026-09-10","","test_user_session","",""
"","24","Вход с неверным паролем должен отвечать 400","tests.contract","2026-09-10","skipped","2026-09-10","","test_known_deviations","",""
"","46","Поиск по статусу sold возвращает только этот статус","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_search","",""
"","46","Удаление питомца","tests.api.pet","2026-09-10","passed","2026-09-10","","test_pet_crud","",""
"","32","Ответ на создание пользователя соответствует схеме ApiResponse","tests.contract","2026-09-10","passed","2026-09-10","","test_response_schemas","",""
"","1","Обязательные поля модели Order совпадают со спекой","tests.contract","2026-09-10","passed","2026-09-10","","test_model_sync","",""
